,Ridge,Lasso-min,Lasso-1se,Lasso-refit,PCR
0,0.10974187242261497,0.0463043450860065,0.046206717589121385,0.05192303236354351,0.06588702689442909
1,0.12243039322361278,0.05556838811431442,0.06164885085865288,0.0584251345324554,0.07037999855756713
2,0.1000984746860192,0.041629923576933896,0.044885145317855334,0.03931546417694455,0.04570619455394435
3,0.10548517326543448,0.04922670530704292,0.04759990817680042,0.0520920762615449,0.062059901256582846
4,0.09478282858101623,0.04392040345059679,0.043931952595769125,0.04603706318683757,0.057481304938636096
5,0.09574650639614522,0.03420327242059736,0.042076378111733204,0.03601101507828559,0.03798442836253387
6,0.1139878370090853,0.04254450566652844,0.04569423698097428,0.043304577805342186,0.05251967753602963
7,0.11569834282669461,0.05064675945951826,0.04934647353281194,0.05854778703259368,0.06054849909021429
8,0.09847309449459989,0.03794319847001728,0.03691007271863232,0.03427863176116833,0.052834903446666026
9,0.12285302214981929,0.043154020905246344,0.05049681563676786,0.03861290931830193,0.06249617984099179
10,0.13073774614812966,0.04628296746104216,0.04167881779598361,0.05355282723660125,0.061922421245859366
11,0.09302632243334431,0.037378562636538486,0.04163096188662329,0.04538539164132698,0.04388760974095212
12,0.10602913573512249,0.039218994917736436,0.03950477973321765,0.042414736829167965,0.056396224038028415
13,0.10579748785966975,0.03812797248052306,0.04003634104598742,0.03742191370124275,0.04918800423942427
14,0.10665795862391991,0.0380424151951075,0.03803265957106163,0.04242455909144938,0.054038107788828456
15,0.10212943992738473,0.05467463305652984,0.05855895190715968,0.056035898205831575,0.06877520229122701
16,0.09678066347646565,0.03367941210301815,0.03734629758299847,0.03165257934630009,0.04043191767328619
17,0.08966932673740019,0.03829089615121474,0.040451196140170856,0.040087506904136226,0.05211033072896478
18,0.11828534069789494,0.05662411938595596,0.059874592367904836,0.05376110220927262,0.07982150942149226
19,0.10484793621299297,0.03778695540885699,0.04199607934157028,0.0357247127896244,0.05041109292296519
20,0.11099429444111747,0.04897779966296425,0.05152829917865409,0.048744124818471866,0.05969893600312624
21,0.1072393939139054,0.040120506255559865,0.0394878374327803,0.042170760026230124,0.05034314220866285
22,0.10403522033310607,0.05000611136922331,0.04751211324761612,0.05814562096211932,0.069314546281352
23,0.09644770783538147,0.03804161037347611,0.04148044186796255,0.03745511288059651,0.05656990428967532
24,0.10756014710468897,0.047306727504163454,0.05134690946213093,0.043949405601972566,0.06511890150582629
25,0.10234326879954676,0.04550290431945026,0.05287282530466599,0.04220718642524189,0.06716667543306648
26,0.10870335205199405,0.040262316221396706,0.040404817133243405,0.044732509705908044,0.05448206071647398
27,0.0989097833758334,0.049993395862229645,0.05416047539706983,0.054284054682437306,0.07051542636212124
28,0.10771836155166917,0.0597420051079264,0.06817179378943415,0.06374235637143974,0.09385700074136513
29,0.11038575202166682,0.040613137238842176,0.04916439020185212,0.037704865237039475,0.05702124997144002
30,0.10217753731534306,0.04556688893346777,0.05319060974169513,0.04879735712971129,0.07296642493618663
31,0.10236866835564426,0.040168084701667224,0.03557274423041358,0.04354292157627704,0.051063094708222255
32,0.11074198970821116,0.04404337640120254,0.04352318426197015,0.04724142339857397,0.0579948363249991
33,0.08381439743960986,0.035260350087249114,0.03528164419279109,0.03019159010054068,0.04828928374617397
34,0.10919611172688069,0.03114329958129581,0.03453318801523879,0.03183438034771962,0.05136119802875023
35,0.1173773501301762,0.03967965468635265,0.04227905437769313,0.038019054486374576,0.05154475457102339
36,0.11297808701843766,0.05096524725812254,0.046387151439205604,0.05387426435999037,0.06912477336873492
37,0.11827596961092479,0.04104675321259748,0.0414880770614293,0.04074979228510854,0.057108854040028176
38,0.1166083496244676,0.04408650044192061,0.039539335116582384,0.05530670264776967,0.05577363758421113
39,0.12077396359153941,0.034200418748541024,0.03771547976165639,0.03371677903003781,0.04577517598802917
40,0.10365502404661676,0.04988150229632047,0.05188951300594365,0.051463863499311965,0.07455723662183406
41,0.0920798881404695,0.04519181979941421,0.0505394009828033,0.042768857820817935,0.061352577856488615
42,0.10569330808641193,0.04862184904634197,0.047804257334186855,0.046550586214359126,0.063254428517401
43,0.09452602620272645,0.03835050838762853,0.03751480260568331,0.04256055596966551,0.05613558896695269
44,0.12111517427393427,0.04274798035601965,0.041623855005433266,0.04242281604768895,0.054281341941825795
45,0.10817645644583336,0.043348092962942654,0.043028282866761886,0.047771260609818726,0.0649279604406487
46,0.11907259905202318,0.06011459244974924,0.06430269851687855,0.06514215417781846,0.07924714212050651
47,0.09403245964944854,0.03324459622814583,0.03687548845216031,0.033962618304803474,0.04771713158065222
48,0.1057438452690553,0.03338624368393494,0.03411728107076388,0.03773619041593623,0.049534860602474966
49,0.11395931306720412,0.04453365315751836,0.04710930256244707,0.04227357637237358,0.0611255485052244
